seed,weight_decay,N,selected_proxy_reward_mean,selected_true_utility_mean,selected_spurious_utility_mean,oracle_best_true_utility_mean,random_candidate_true_utility_mean,proxy_minus_true_gap
90001,1.0,4,2.467038154602051,0.022881226614117622,4.27254581451416,1.0380275249481201,0.005093771032989025,2.4441568851470947
90001,1.0,16,2.539471387863159,0.0606689527630806,6.765763282775879,1.798901081085205,0.005093771032989025,2.478802442550659
90001,1.0,64,2.540658950805664,0.0384368821978569,9.279129028320312,2.3770952224731445,0.005093771032989025,2.5022220611572266
90001,1.0,256,2.540666103363037,0.010670707561075687,10.768538475036621,2.849123001098633,0.005093771032989025,2.5299954414367676
90002,0.0,1,2.668013334274292,-0.023621780797839165,1.9903225898742676,-0.023621780797839165,-0.023621786385774612,2.6916351318359375
90002,0.0,4,4.184027671813965,0.007499375380575657,4.121756076812744,1.003263235092163,-0.023621786385774612,4.176528453826904
90002,0.0,16,4.437297344207764,0.023475484922528267,6.694151878356934,1.7813539505004883,-0.023621786385774612,4.413821697235107
90002,0.0,64,4.442749977111816,-0.0031461569014936686,9.342519760131836,2.3504035472869873,-0.023621786385774612,4.445896148681641
90002,0.0,256,4.442785739898682,0.020840533077716827,11.253125190734863,2.8376986980438232,-0.023621786385774612,4.421945095062256
90002,1e-05,1,2.668013334274292,-0.023621780797839165,1.9903225898742676,-0.023621780797839165,-0.023621786385774612,2.6916351318359375
90002,1e-05,4,4.184027671813965,0.007499375380575657,4.121756076812744,1.003263235092163,-0.023621786385774612,4.176528453826904
90002,1e-05,16,4.437297344207764,0.023475484922528267,6.694151878356934,1.7813539505004883,-0.023621786385774612,4.413821697235107
90002,1e-05,64,4.442749977111816,-0.0031461569014936686,9.342519760131836,2.3504035472869873,-0.023621786385774612,4.445896148681641
90002,1e-05,256,4.442785739898682,0.020840533077716827,11.253125190734863,2.8376986980438232,-0.023621786385774612,4.421945095062256
90002,0.0001,1,2.673323392868042,-0.023621780797839165,1.9903225898742676,-0.023621780797839165,-0.023621786385774612,2.6969451904296875
90002,0.0001,4,4.185239315032959,0.008944932371377945,4.12069034576416,1.003263235092163,-0.023621786385774612,4.176294326782227
90002,0.0001,16,4.437305927276611,0.025008367374539375,6.689595699310303,1.7813539505004883,-0.023621786385774612,4.41229772567749
90002,0.0001,64,4.442674160003662,-0.003902474418282509,9.284090995788574,2.3504035472869873,-0.023621786385774612,4.4465765953063965
90002,0.0001,256,4.442707061767578,-0.0042607481591403484,10.913429260253906,2.8376986980438232,-0.023621786385774612,4.446967601776123
90002,0.001,1,2.666377544403076,-0.023621780797839165,1.9903225898742676,-0.023621780797839165,-0.023621786385774612,2.6899993419647217
90002,0.001,4,4.178859710693359,0.008668219670653343,4.120665073394775,1.003263235092163,-0.023621786385774612,4.170191287994385
90002,0.001,16,4.432645320892334,0.022604871541261673,6.688109397888184,1.7813539505004883,-0.023621786385774612,4.410040378570557
90002,0.001,64,4.438172340393066,1.3865947948943358e-05,9.284039497375488,2.3504035472869873,-0.023621786385774612,4.4381585121154785
90002,0.001,256,4.438209533691406,-0.006546135060489178,10.957988739013672,2.8376986980438232,-0.023621786385774612,4.444755554199219
90002,0.01,1,2.650810718536377,-0.023621780797839165,1.9903225898742676,-0.023621780797839165,-0.023621786385774612,2.6744325160980225
90002,0.01,4,4.150157928466797,0.012937880121171474,4.11975622177124,1.003263235092163,-0.023621786385774612,4.1372199058532715
90002,0.01,16,4.398855686187744,0.028703177347779274,6.686164855957031,1.7813539505004883,-0.023621786385774612,4.370152473449707
90002,0.01,64,4.404158115386963,0.00443183071911335,9.253511428833008,2.3504035472869873,-0.023621786385774612,4.399726390838623
90002,0.01,256,4.4041948318481445,0.008599548600614071,10.830611228942871,2.8376986980438232,-0.023621786385774612,4.395595073699951
90002,0.1,1,2.5105440616607666,-0.023621780797839165,1.9903225898742676,-0.023621780797839165,-0.023621786385774612,2.534165859222412
90002,0.1,4,3.889908790588379,0.016603056341409683,4.120477676391602,1.003263235092163,-0.023621786385774612,3.8733057975769043
